,loss,accuracy,val_loss,val_accuracy,lr
0,1.1986007690429688,0.670915424823761,0.5214977860450745,0.8379239439964294,0.0005000000237487257
1,0.4378819465637207,0.8700476288795471,0.6748878359794617,0.8036080002784729,0.0005000000237487257
2,0.2692326605319977,0.9185006022453308,0.6017049551010132,0.8248918652534485,0.0005000000237487257
3,0.19341768324375153,0.9422007203102112,0.23221884667873383,0.9287502765655518,0.0005000000237487257
4,0.15487784147262573,0.9551035165786743,0.8496416211128235,0.8133963346481323,0.0005000000237487257
5,0.11796113848686218,0.965303361415863,0.5427080988883972,0.8789551854133606,0.0005000000237487257
6,0.09971825033426285,0.9707375764846802,0.2426636964082718,0.9306282997131348,0.0005000000237487257
7,0.03421089053153992,0.9899423718452454,0.07406239211559296,0.9805940985679626,0.00010000000474974513
8,0.019406501203775406,0.9940109252929688,0.06493767350912094,0.9843500852584839,0.00010000000474974513
9,0.015413718298077583,0.9952201247215271,0.12054084986448288,0.9739927053451538,0.00010000000474974513
